"seq.name"	"rat.id"	"barcode"	"read.length"	"mean.read.accur"	"median.read.accur"	"sequence.run"	"subject.id"	"percent.ident"	"align.length"	"mismatches"	"gap.opens"	"query.start"	"query.end"	"subject.start"	"subject.end"	"bit.score"	"subject.descr"	"species"	"blast.genus"	"readl.alignl.ratio"	"megan.kingdom"	"megan.phylum"	"megan.class"	"megan.order"	"megan.family"	"megan.genus"
"48b8d866-c2ab-4323-a436-c8d45b665852 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=176 ch=116 start_time=2017-01-26T00:17:28Z barcode=barcode01"	"OS2"	"JNB01"	957	0.859938634387317	0.9	"January"	"gi|228014809|gb|FJ859985.1|"	84.71	425	65	37	72	473	306	716	394.457	"Prionoplus reticularis voucher BTOLDDM0141 cytochrome oxidase subunit I (COI) gene: partial cds; mitochondrial"	"Prionoplus reticularis"	"Prionoplus"	0.444096133751306	"2759"	"6656"	"50557"	"7041"	"34667"	NA
"e4e4dee7-bc9a-421e-872c-2fee17841b22 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=734 ch=119 start_time=2017-01-26T01:19:17Z barcode=barcode01"	"OS2"	"JNB01"	843	0.922637486859814	0.968377223398316	"January"	"gi|525340904|ref|NC_021747.1|"	92.09	784	62	48	82	836	508	1272	1061.1	"Helix aspersa from Chile mitochondrion: complete genome"	"Helix aspersa"	"Helix"	0.930011862396204	"2759"	"6447"	"6448"	"6527"	"6533"	"6534"
"9baa25fa-eecb-4e1f-9eb9-e12894ff1477 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=4014 ch=120 start_time=2017-01-26T07:50:13Z barcode=barcode01"	"OS2"	"JNB01"	477	0.920896676637226	0.96018928294465	"January"	"gi|1189997114|ref|NW_018373578.1|"	79.42	379	78	15	65	435	663874	663503	254.111	"Parasteatoda tepidariorum strain Goettingen unplaced genomic scaffold: Ptep_2.0 Scf5bK3_670: whole genome shotgun sequence"	"Parasteatoda tepidariorum"	"Parasteatoda"	0.794549266247379	"2759"	"6656"	"6854"	"6893"	"34643"	NA
"cbc403ff-2125-4abc-adff-a20f75e4e038 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=71 ch=124 start_time=2017-01-26T00:00:45Z barcode=barcode01"	"OS2"	"JNB01"	515	0.847595109649729	0.920567176527572	"January"	"gi|1198318122|ref|NW_018395392.1|"	88.54	157	18	12	86	236	2611237	2611087	180.245	"Helicoverpa armigera isolate Harm_GR_Male_#8 unplaced genomic scaffold: Harm_1.0 scaffold_2: whole genome shotgun sequence"	"Helicoverpa armigera"	"Helicoverpa"	0.304854368932039	"2759"	"6656"	"50557"	"7088"	"7100"	NA
"0911bc36-f71b-4618-86f2-f89e2616cdc8 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=6452 ch=127 start_time=2017-01-26T12:37:18Z barcode=barcode01"	"OS2"	"JNB01"	849	0.923290307687687	0.96018928294465	"January"	"gi|1179090993|gb|CM007794.2|"	78.17	710	155	65	119	786	19200612	19199926	392.61	"Timema cristinae isolate 10poolfem-genome-2009-PC linkage group LG1: whole genome shotgun sequence"	"Timema cristinae"	"Timema"	0.836277974087161	"2759"	"6656"	"50557"	"7020"	"213546"	NA
"0a2ebf49-1992-4f7b-9268-09426c3361b4 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=6312 ch=127 start_time=2017-01-26T10:42:50Z barcode=barcode01"	"OS2"	"JNB01"	490	0.923286191980005	0.96018928294465	"January"	"gi|12003200|gb|AF204936.1|AF204936"	92	125	10	8	317	437	591	471	169.165	"Helix aspersa microsatellite 5/C sequence"	"Helix aspersa"	"Helix"	0.255102040816327	"2759"	"6447"	"6448"	"6527"	NA	NA
"8da27ee4-64b6-4c62-abac-6247bb734440 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=6894 ch=127 start_time=2017-01-26T13:08:54Z barcode=barcode01"	"OS2"	"JNB01"	414	0.93721177831565	0.974881135684904	"January"	"gi|562814550|gb|KI578486.1|"	80.73	218	42	8	70	281	2519302	2519517	163.625	"Leptinotarsa decemlineata unplaced genomic scaffold Scaffold4: whole genome shotgun sequence"	"Leptinotarsa decemlineata"	"Leptinotarsa"	0.526570048309179	"2759"	"6656"	"50557"	"7041"	"27439"	NA
"e84d2fe6-1567-4b3d-9fc2-3908b16c341d runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=294 ch=128 start_time=2017-01-26T00:23:43Z barcode=barcode01"	"OS2"	"JNB01"	835	0.868741192181073	0.920567176527572	"January"	"gi|1197709748|ref|NC_034661.1|"	76.6	376	88	27	71	438	12425	12781	182.092	"Capnia zijinshana mitochondrion: complete genome"	"Capnia zijinshana"	"Capnia"	0.450299401197605	"2759"	"6656"	"50557"	NA	NA	NA
"b99606f9-245e-4295-b3bc-874e328482f4 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=314 ch=12 start_time=2017-01-26T00:49:00Z barcode=barcode01"	"OS2"	"JNB01"	710	0.898779975766346	0.949881276637273	"January"	"gi|1198318057|ref|NW_018395457.1|"	80.09	447	89	33	74	498	708510	708075	302.124	"Helicoverpa armigera isolate Harm_GR_Male_#8 unplaced genomic scaffold: Harm_1.0 scaffold_67: whole genome shotgun sequence"	"Helicoverpa armigera"	"Helicoverpa"	0.629577464788732	"2759"	"6656"	"50557"	"7088"	"7100"	NA
"e0de7ca0-d7f8-4585-9cc6-4574795f0428 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=1102 ch=130 start_time=2017-01-26T02:54:38Z barcode=barcode01"	"OS2"	"JNB01"	683	0.893150657876821	0.936904265551981	"January"	"gi|693553071|gb|KN196815.1|"	84.43	167	26	7	441	602	453626	453790	158.086	"Blattella germanica strain American Cyanamid = Orlando Normal breed German cockroach unplaced genomic scaffold Scaffold325: whole genome shotgun sequence"	"Blattella germanica"	"Blattella"	0.244509516837482	"2759"	"6656"	"50557"	"85823"	"1049651"	NA
"ef006090-76bf-4323-b640-8730f67ae3e8 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=342 ch=130 start_time=2017-01-26T00:39:14Z barcode=barcode01"	"OS2"	"JNB01"	2089	0.945397143647684	0.974881135684904	"January"	"gi|1079479709|ref|NW_017372899.1|"	85.79	190	27	10	1727	1910	1199045	1198860	193.172	"Anoplophora glabripennis unplaced genomic scaffold: Agla_1.0 Scaffold454: whole genome shotgun sequence &gt;gi|499122725|gb|KB933953.1| Anoplophora glabripennis unplaced genomic scaffold Scaffold454: whole genome shotgun sequence"	"Anoplophora glabripennis"	"Anoplophora"	0.0909526089037817	"2759"	"6656"	"50557"	"7041"	NA	NA
"74f67ded-2b80-48f2-b703-96f594f1f308 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=26488 ch=131 start_time=2017-01-26T21:08:34Z barcode=barcode01"	"OS2"	"JNB01"	1657	0.824366396043013	0.874107458820583	"January"	"gi|1134612959|gb|KX943374.1|"	73.29	554	148	61	345	856	1995	2529	147.006	"Chrysolina polita mitochondrion: partial genome"	"Chrysolina polita"	"Chrysolina"	0.334339167169584	"2759"	"6656"	"50557"	"7041"	NA	NA
"07a85f27-54e6-411f-9c6c-cb2d50e7d99b runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=1010 ch=133 start_time=2017-01-26T01:08:34Z barcode=barcode01"	"OS2"	"JNB01"	1691	0.886071310695146	0.936904265551981	"January"	"gi|1178767894|gb|KX087264.1|"	78.53	871	187	65	92	919	14489	13641	512.642	"Cortodera humeralis mitochondrion: complete genome"	"Cortodera humeralis"	"Cortodera"	0.515079834417504	"2759"	"6656"	"50557"	"7041"	NA	NA
"4c3918ca-47ae-47ad-8c2a-54fe426d86a2 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=4706 ch=134 start_time=2017-01-26T07:50:01Z barcode=barcode01"	"OS2"	"JNB01"	726	0.889143246834119	0.949881276637273	"January"	"gi|1518799|gb|U63089.1|DVU63089"	80.86	209	40	8	81	286	256	53	158.086	"Diabrotica virgifera virgifera NADH dehydrogenase subunit 4 (ND4) gene: partial cds"	"Diabrotica virgifera"	"Diabrotica"	0.287878787878788	"2759"	"6656"	"50557"	NA	NA	NA
"766eb0ac-1865-488b-9677-c9cc1f99e143 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=1212 ch=141 start_time=2017-01-26T02:19:30Z barcode=barcode01"	"OS2"	"JNB01"	404	0.924876233034662	0.968377223398316	"January"	"gi|562814521|gb|KI578515.1|"	84.95	206	31	10	68	267	1570600	1570801	200.558	"Leptinotarsa decemlineata unplaced genomic scaffold Scaffold33: whole genome shotgun sequence"	"Leptinotarsa decemlineata"	"Leptinotarsa"	0.50990099009901	"2759"	"6656"	"50557"	"7041"	"27439"	NA
"eb1ea3ad-4c6c-41f7-95dd-62ad827723bf runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=637 ch=141 start_time=2017-01-26T01:00:33Z barcode=barcode01"	"OS2"	"JNB01"	771	0.915120268545288	0.96018928294465	"January"	"gi|562814356|gb|KI578680.1|"	75.93	270	65	25	460	711	244705	244443	115.613	"Leptinotarsa decemlineata unplaced genomic scaffold Scaffold198: whole genome shotgun sequence"	"Leptinotarsa decemlineata"	"Leptinotarsa"	0.350194552529183	"2759"	"6656"	"50557"	"7041"	NA	NA
"6d4f0601-b640-4598-bed4-d384e29cd0ad runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=397 ch=142 start_time=2017-01-26T00:39:29Z barcode=barcode01"	"OS2"	"JNB01"	485	0.860059819587337	0.920567176527572	"January"	"gi|1190005822|emb|LT849753.1|"	81.5	200	37	12	119	312	20379	20572	154.392	"Plodia interpunctella strain Dundee genome assembly: scaffold: Scgib9i_5088: whole genome shotgun sequence"	"Plodia interpunctella"	"Plodia"	0.412371134020619	"2759"	"6656"	"50557"	"7088"	NA	NA
"fba895d0-03eb-450c-8f50-8554a3ad1c0d runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=772 ch=142 start_time=2017-01-26T01:31:51Z barcode=barcode01"	"OS2"	"JNB01"	571	0.883744635230208	0.936904265551981	"January"	"gi|553062683|gb|KC524807.1|"	82.76	232	40	14	70	294	1170	946	195.019	"Omadius sp. 2 NLG-2013 voucher COL1413 12S ribosomal RNA gene: partial sequence; tRNA-Val gene: complete sequence; and 16S ribosomal RNA gene: partial sequence; mitochondrial"	"Omadius sp"	"Omadius"	0.40630472854641	"2759"	"6656"	"50557"	"7041"	NA	NA
"0f700bfe-3222-47e1-9e3d-955330287215 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=1158 ch=143 start_time=2017-01-26T01:18:53Z barcode=barcode01"	"OS2"	"JNB01"	649	0.885566185327339	0.936904265551981	"January"	"gi|1198318124|ref|NW_018395390.1|"	83.55	231	38	10	191	417	2279511	2279287	207.945	"Helicoverpa armigera isolate Harm_GR_Male_#8 unplaced genomic scaffold: Harm_1.0 scaffold_0: whole genome shotgun sequence"	"Helicoverpa armigera"	"Helicoverpa"	0.355932203389831	"2759"	"6656"	"50557"	"7088"	"7100"	NA
"131601d4-b038-4f89-b804-0a2297201e75 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=290 ch=144 start_time=2017-01-26T00:10:26Z barcode=barcode01"	"OS2"	"JNB01"	2285	0.928131883628099	0.968377223398316	"January"	"gi|357018130|ref|NC_016199.1|"	71.86	2075	584	199	156	2116	8940	6951	412.923	"Loa loa mitochondrion: complete genome"	"Loa loa"	"Loa"	0.908096280087527	"2759"	"6231"	"119089"	"6274"	NA	NA
"39b28457-2704-412c-a745-0cbb15262747 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=91 ch=144 start_time=2017-01-26T00:03:08Z barcode=barcode01"	"OS2"	"JNB01"	559	0.883771419487872	0.936904265551981	"January"	"gi|1198318106|ref|NW_018395408.1|"	86.9	145	19	8	72	211	728922	728781	156.239	"Helicoverpa armigera isolate Harm_GR_Male_#8 unplaced genomic scaffold: Harm_1.0 scaffold_18: whole genome shotgun sequence"	"Helicoverpa armigera"	"Helicoverpa"	0.259391771019678	"2759"	"6656"	"50557"	"7088"	NA	NA
"3aec3fd3-454f-4b8d-84ca-3df81bb577b7 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=21 ch=148 start_time=2017-01-26T00:00:59Z barcode=barcode01"	"OS2"	"JNB01"	565	0.879070575576451	0.936904265551981	"January"	"gi|1092182639|gb|KX035148.1|"	83.33	132	22	5	149	278	1433	1561	117.459	"Tetratoma fungorum voucher BMNH 833898 mitochondrion: complete genome"	"Tetratoma fungorum"	"Tetratoma"	0.233628318584071	"2759"	"6656"	"50557"	"7041"	NA	NA
"1c8eb83c-b15e-496c-bff0-06e9e1337978 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=279 ch=150 start_time=2017-01-26T00:39:39Z barcode=barcode01"	"OS2"	"JNB01"	1308	0.930527281749548	0.968377223398316	"January"	"gi|1258168178|gb|KY856744.1|"	80.27	958	189	70	368	1279	22074	23007	658.528	"Callosobruchus chinensis mitochondrion: complete genome"	"Callosobruchus chinensis"	"Callosobruchus"	0.732415902140673	"2759"	"6656"	"50557"	"7041"	NA	NA
"7d5b62c0-4250-4304-b6cb-8e9e3094525d runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=23 ch=150 start_time=2017-01-25T23:58:43Z barcode=barcode01"	"OS2"	"JNB01"	503	0.941831966143495	0.980047376850311	"January"	"gi|516306493|gb|JX412837.1|"	82.44	262	46	15	80	332	9028	8773	215.332	"Attagenus hottentotus mitochondrion: partial genome"	"Attagenus hottentotus"	"Attagenus"	0.520874751491054	"2759"	"6656"	"50557"	NA	NA	NA
"de8c12b3-c0b6-4c1a-aae2-84768a8f3020 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=3419 ch=156 start_time=2017-01-26T09:14:54Z barcode=barcode01"	"OS2"	"JNB01"	476	0.889444942984883	0.949881276637273	"January"	"gi|157922125|gb|EU030424.1|"	80.35	229	45	9	122	345	96	320	165.472	"Trochulus villosus clone TROA105 microsatellite sequence"	"Trochulus villosus"	"Trochulus"	0.48109243697479	"2759"	"6447"	"6448"	"6527"	NA	NA
"59375e5c-0fa8-4309-891b-3ea02266509f runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=848 ch=160 start_time=2017-01-26T16:42:09Z barcode=barcode01"	"OS2"	"JNB01"	818	0.85638920512203	0.920567176527572	"January"	"gi|1325356390|ref|XM_018722742.2|"	85	140	21	7	85	218	145	7	135.926	"PREDICTED: Anoplophora glabripennis protein ANTAGONIST OF LIKE HETEROCHROMATIN PROTEIN 1-like (LOC108916480): mRNA"	"Anoplophora glabripennis"	"Anoplophora"	0.171149144254279	"2759"	"6656"	"50557"	"7041"	NA	NA
"4767f709-961a-49a5-ab4c-7ff7f28d3078 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=403 ch=162 start_time=2017-01-26T00:46:43Z barcode=barcode01"	"OS2"	"JNB01"	871	0.879731514751221	0.936904265551981	"January"	"gi|1195437959|gb|KZ117462.1|"	82.3	435	77	34	97	512	581908	581489	346.444	"Helicoverpa zea unplaced genomic scaffold scaffold_2: whole genome shotgun sequence"	"Helicoverpa zea"	"Helicoverpa"	0.499425947187141	"2759"	"6656"	"50557"	"7088"	"7100"	NA
"2b65e647-8362-4393-9772-0a8f48d9a308 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=1149 ch=166 start_time=2017-01-26T16:26:04Z barcode=barcode01"	"OS2"	"JNB01"	441	0.882194166091829	0.936904265551981	"January"	"gi|562814548|gb|KI578488.1|"	82.8	157	27	4	94	248	1029149	1028995	137.772	"Leptinotarsa decemlineata unplaced genomic scaffold Scaffold6: whole genome shotgun sequence"	"Leptinotarsa decemlineata"	"Leptinotarsa"	0.356009070294785	"2759"	"6656"	"50557"	"7041"	"27439"	NA
"2dc670bc-8104-40a9-bf28-ba12928de4b1 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=223 ch=166 start_time=2017-01-26T00:36:55Z barcode=barcode01"	"OS2"	"JNB01"	614	0.926339201385557	0.968377223398316	"January"	"gi|429536882|gb|KC130694.1|"	78.56	443	95	34	75	496	434	5	261.498	"Physaloptera sp. BOLD:AAY6338 voucher MXHEL363 cytochrome oxidase subunit 1 (COI) gene: partial cds; mitochondrial &gt;gi|429536896|gb|KC130701.1| Physaloptera sp. BOLD:AAY6338 voucher MXHEL362 cytochrome oxidase subunit 1 (COI) gene: partial cds; mitochondrial &gt;gi|429536908|gb|KC130707.1| Physaloptera sp. BOLD:AAY6338 voucher MXHEL361 cytochrome oxidase subunit 1 (COI) gene: partial cds; mitochondrial"	"Physaloptera sp"	"Physaloptera"	0.721498371335505	"2759"	"6231"	"119089"	"6274"	"75557"	NA
"a75f9eb4-67c9-4de4-a903-2bb27097f37d runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=2879 ch=168 start_time=2017-01-26T05:57:20Z barcode=barcode01"	"OS2"	"JNB01"	840	0.859184793809413	0.920567176527572	"January"	"gi|1198318040|ref|NW_018395474.1|"	81.79	390	71	29	69	433	518725	518340	300.278	"Helicoverpa armigera isolate Harm_GR_Male_#8 unplaced genomic scaffold: Harm_1.0 scaffold_84: whole genome shotgun sequence"	"Helicoverpa armigera"	"Helicoverpa"	0.464285714285714	"2759"	"6656"	"50557"	"7088"	"7100"	NA
"289b1f58-3d65-43cf-a6dc-21ab0421777c runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=4289 ch=170 start_time=2017-01-26T15:39:14Z barcode=barcode01"	"OS2"	"JNB01"	755	0.938198667194494	0.974881135684904	"January"	"gi|1134613273|gb|KX943416.1|"	78.78	556	118	30	84	620	7417	7961	346.444	"Linaeidea aenea mitochondrion: partial genome"	"Linaeidea aenea"	"Linaeidea"	0.736423841059603	"2759"	"6656"	"50557"	NA	NA	NA
"dbd868c6-3def-40c4-ba8e-1798d6a292e0 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=1918 ch=171 start_time=2017-01-26T05:39:52Z barcode=barcode01"	"OS2"	"JNB01"	3520	0.943781763085855	0.974881135684904	"January"	"gi|1178768090|gb|KX087325.1|"	78.85	3513	743	205	81	3453	10473	13920	2182.01	"Orsodacne cerasi mitochondrion: complete genome"	"Orsodacne cerasi"	"Orsodacne"	0.998011363636364	"2759"	"6656"	"50557"	"7041"	NA	NA
"931b88ee-2d8c-409e-a62c-5772ca717246 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=167 ch=179 start_time=2017-01-26T00:15:08Z barcode=barcode01"	"OS2"	"JNB01"	732	0.866589790764632	0.9	"January"	"gi|938310967|ref|NW_014463796.1|"	83.59	195	32	13	154	337	3600757	3600565	171.012	"Microplitis demolitor strain Queensland-Clemson subculture unplaced genomic scaffold: Mdem2 Mdem_scaffold_0017: whole genome shotgun sequence &gt;gi|937500616|gb|KQ464199.1| Microplitis demolitor strain Queensland-Clemson subculture unplaced genomic scaffold Mdem_scaffold_0017: whole genome shotgun sequence"	"Microplitis demolitor"	"Microplitis"	0.266393442622951	"2759"	"6656"	"50557"	"7399"	"7402"	NA
"83a86690-086a-4630-a42c-54adcbcc5df4 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=2727 ch=179 start_time=2017-01-26T04:56:56Z barcode=barcode01"	"OS2"	"JNB01"	1019	0.868209245642743	0.920567176527572	"January"	"gi|407911463|gb|JX220998.1|"	86.89	122	16	4	77	198	7757	7874	134.079	"Stenurella nigra mitochondrion: partial genome"	"Stenurella nigra"	"Stenurella"	0.11972522080471	"2759"	"6656"	"50557"	"7041"	NA	NA
"23784706-bbce-4935-b170-eeb410eeab08 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=11852 ch=180 start_time=2017-01-26T14:41:39Z barcode=barcode01"	"OS2"	"JNB01"	854	0.872421509093063	0.920567176527572	"January"	"gi|854892286|gb|KR047789.1|"	78.47	288	62	19	116	397	11434	11160	171.012	"Chromatomyia horticola mitochondrion: partial genome"	"Chromatomyia horticola"	"Chromatomyia"	0.337236533957845	"2759"	"6656"	"50557"	NA	NA	NA
"c1e10ebe-db76-403b-b5fe-24b2420a5af9 runid=c8ac6a8a1874c1d00e5b94658c7960e33fd7870e read=2384 ch=183 start_time=2017-01-26T15:01:42Z barcode=barcode01"	"OS2"	"JNB01"	556	0.925462584182322	0.968377223398316	"January"	"gi|605033815|gb|KK116629.1|"	81.22	213	40	12	289	497	506574	506778	161.779	"Stegodyphus mimosarum unplaced genomic scaffold scaffold2978: whole genome shotgun sequence"	"Stegodyphus mimosarum"	"Stegodyphus"	0.383093525179856	"2759"	"6656"	"6854"	"6893"	"175333"	NA
